GOBP_MYELOID_LEUKOCYTE_ACTIVATION,GOBP_PHAGOCYTOSIS,GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,GOBP_MACROPHAGE_ACTIVATION,GOBP_MYELOID_LEUKOCYTE_MIGRATION,GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION,GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,GIMATS
NR1H3,NR1H3,ADAM8,TLR6,NR1H3,DNM1L,RNF41,LILRB2,NOD1,G0S2
RASGRP1,SIRPB1,RASGRP1,NOD1,TLR6,ADAM8,CDKN1A,TLR6,LAMTOR5,IL6
ADAM10,ABCA7,AKAP8,TRIM16,CEBPA,VAV3,TLR6,NOD1,LILRA2,PTGS2
TLR6,RACK1,NOD1,MALT1,CTSC,CREB3,MTCO2P12,SPON2,CHI3L1,IL23A
NDRG1,SPON2,SPON2,TMED10,VSIG4,CXCL13,DHRS4,ARID5A,PARK7,IL1B
CEBPA,VAV3,GPNMB,LILRA2,TMEM106A,EMILIN1,RIPK3,LILRA2,TIRAP,CD14
BATF,MERTK,ARFGEF2,TMEM106A,CLU,TIRAP,PARK7,TMEM106A,DDIT3,DUSP2
CD226,LMAN2,LILRB1,NLRP3,LRRK2,JAML,CLCN3,TIRAP,F3,MMP9
CTSC,RAB31,ARID5A,GBP5,TICAM1,CCR1,ROMO1,ADORA2B,FCN1,TNF
TRAF3IP2,CORO1A,LILRB4,AGER,AGER,CCR7,MAPK14,TICAM1,DDX58,NFKB1
LILRB4,LYST,LILRA2,EGR1,AIF1,CMKLR1,CYBA,CYBA,PRKD2,IRF1
LILRA2,TUSC2,IRAK3,NLRP1,FCGR2B,CNN2,CYP1B1,DHX9,PYCARD,S100A9
VSIG4,CLCN3,PARK7,CARD8,FCGR3A,SIRPA,AKR1C1,AGER,HMGB1,IER3
TMEM106A,CNN2,TMEM106A,PANX1,SBNO2,CSF1,GADD45A,AIF1,HSPA1A,TSPO
CLU,ADORA2A,CHRNA7,PYCARD,CD93,CSF1R,PTK2B,EREG,HSPA1B,CXCL2
LRRK2,SIRPA,TIRAP,HDAC2,SYT11,CSF3R,FOXO3,DDX58,IL1B,TNFAIP2
ADORA2B,CSK,CLU,HK1,JMJD6,MOSPD2,FPR2,IL17RA,IL6,AQP9
CSF1,CD300LF,LRRK2,HMGB1,FOXP1,AGER,GNAI2,ZBTB20,LGALS9,CXCL9
CD300LF,CYBA,SIRPA,HSPB1,STK39,DPP4,GNAI3,PYCARD,MYD88,TRAF1
TICAM1,DNM2,TICAM1,IFI16,GRN,DUSP1,GRB2,HMGB1,SERPINE1,PLD3
AGER,DOCK1,CYBA,APP,HSPD1,ANO6,GRIN1,HSPD1,ZNF580,NFKBIA
DNASE1,DOCK2,CYBB,LILRA5,IFI35,AIF1,GSTP1,RAB7B,TLR8,S100A8
DOCK2,ABCA1,DHX9,IL6,IFNGR1,PIKFYVE,ITGAM,APP,MAVS,CFLAR
AIF1,ANO6,AGER,IL16,IFNGR2,EMP2,ITGB2,LILRA5,RAB1A,KYNU
UNC13D,AIF1,EPHB2,JAK2,APP,PTK2B,MT-CO2,IL1A,RELA,CXCL3
FCER1G,PIKFYVE,FCGR3A,LGALS9,IL4R,FCER1G,NFE2L2,IL1B,NOD2,GBP5
FCGR2B,UNC13D,SYT11,LPL,IL6,SWAP70,DCXR,IL1RAP,CLEC7A,CCL3
FCGR3A,FCER1G,DICER1,MNDA,ITGAM,FLT1,PDGFB,IL6,STAT3,PLAUR
FER,FCGR1A,DDX58,MYD88,ITGB2,PLCB1,PLCG2,IL6R,SYK,GBP1
FES,FCGR2B,LY96,NAIP,JAK2,PIP5K1C,PID1,IL16,TLR1,CDKN1A
FGR,FCN1,ZBTB20,P2RX7,JUN,FPR2,PRKCD,SCIMP,TLR2,S100A6
SBNO2,FGR,PTPN22,TLR8,JUND,IL17RA,ADGRB1,LGALS9,TLR4,CD44
CD93,RAB11FIP2,GAS6,NLRP2,KARS1,FUT4,RAB27A,LPL,TLR5,PKM
SYT11,CD93,FOXP1,PANX2,LDLR,FUT7,CLEC7A,MBP,TNF,CXCL8
JMJD6,MESD,C5AR2,NLRC4,MYO18A,MCOLN2,SLC5A3,MYD88,WNT5A,SERPINA1
FOXP1,SYT11,PYCARD,CCL3,MIF,GREM1,SNCA,P2RX7,AFAP1L2,CXCL10
RABGEF1,JMJD6,CD274,CCL19,CD200,B4GALT1,SOD1,TLR8,HYAL2,MIR155HG
STK39,RHOBTB2,GSTP1,NOD2,ATM,C5AR2,SOD2,PLCG2,RIPK1,BIRC3
MILR1,PIP5K1C,HDAC2,CLEC7A,PLA2G4A,RABGEF1,SYK,SETD4,FADD,CAPG
GRN,FPR2,HLA-E,STMP1,PLCG2,CXCL1,TGFB1,POU2F2,BCL10,CCL4L2
PYCARD,CORO1C,HMGB1,STAT3,TREM2,CXCL2,TGFBR2,AKIRIN2,CD14,CD83
ANXA1,SH3BP1,HSPB1,TLR4,PRKCE,CXCL3,THBS1,MAPK13,CD58,ICAM1
ADGRE2,ALOX15,IFNGR1,TNF,SUCNR1,ANXA1,TSPO,SPHK2,CD74,IDO1
HMGB1,ABL1,APP,TYROBP,PTPRC,NCKAP1L,TLR4,PTAFR,,PLEK
HMOX1,FYN,LILRA5,WNT5A,RORA,ADGRE2,TP53,MAVS,,TNFAIP6
HSPD1,LETMD1,IL1A,FZD5,CCL3,HMGB1,TYROBP,PTPN11,,SOD2
CLEC4D,C1orf43,IL6,GSDMD,CX3CL1,HRH1,ZNF205,SELENOK,,PIM3
IFI35,APPL1,IL12B,CASP1,CRTC3,IL1A,ZC3H12A,TRPV4,,LDHA
IFNGR1,GAS6,JAK2,CASP8,SLC11A1,IL1B,HVCN1,NOD2,,PDE4DIP
IFNGR2,VPS33B,ARG2,HAVCR2,SNCA,IL1R1,AKR1C3,IFIH1,,GK
APP,EIF2AK1,LGALS9,RIPK2,SYK,IL6,CBR1,CARD9,,LILRA1
RBPJ,PYCARD,LPL,NLRP12,THBS1,IL6R,RIPK1,CLEC7A,,TXN
IL4R,GSN,ARRB2,AIM2,TLR1,CXCL8,CD36,STAT3,,FCGR3A
IL6,ANXA1,MIF,CD36,TLR2,ITGA1,,SYK,,CCL4
CXCL8,HCK,MYD88,,TLR4,ITGA9,,BTK,,CD40
IL15,NCKAP1L,NFKBIL1,,GPR137B,ITGB2,,TLR1,,CCL20
IL18,ANXA11,OAS1,,C1QA,RHOG,,TLR2,,C15orf48
IRF4,HMGB1,OAS2,,TNF,LGALS3,,TLR4,,IL1RN
ITGAM,RAB7B,OAS3,,C5AR1,RHOH,,TNF,,NINJ1
ITGB2,ICAM3,CLEC4A,,TYROBP,LYN,,TRAF6,,INHBA
ITGB8,IRF8,UBE2J1,,WNT5A,CD99,,TNFSF4,,CD68
JAK2,TICAM2,IL23A,,TNIP2,MIF,,TYROBP,,WTAP
JUN,IL1B,PIK3R1,,ZC3H12A,MMP2,,WNT5A,,IL4I1
JUND,IL2RB,PLCG2,,DYSF,MMP14,,XBP1,,SNX10
KARS1,IL2RG,ACP5,,HAVCR2,CD200,,IL17RC,,
LCP2,IL15,SETD4,,CST7,MPP1,,HYAL2,,
LDLR,IL15RA,ERRFI1,,CD84,MYD88,,RIPK2,,
LGALS9,ITGAL,TREM2,,SPHK1,NBL1,,BCL10,,
RHOH,ITGAM,SASH3,,NMI,NF1,,ARHGEF2,,
MYO18A,ITGAV,SELENOS,,MFHAS1,P2RX4,,CD36,,
PLPP6,ITGB1,PSEN1,,CD74,PAFAH1B1,,CD74,,
LTBR,ITGB2,SPHK2,,PJA2,SERPINE1,,,,
LYN,ITGB3,PTAFR,,,IRAK4,,,,
MIF,RHOG,MAVS,,,CKLF,,,,
CD200,LDLR,PTPN6,,,PDE4B,,,,
MYD88,LEPR,PTPN11,,,PDGFB,,,,
ATM,LIMK1,PTPRC,,,IL23A,,,,
NOTCH2,RHOH,PTPRJ,,,PECAM1,,,,
PDPK1,MYO18A,CACTIN,,,PIK3CD,,,,
PIK3CD,LRP1,SELENOK,,,PIK3CG,,,,
PIK3CG,LYN,RARA,,,PIK3R1,,,,
PLA2G4A,MET,TRIM27,,,TREM2,,,,
PLCG2,MSR1,BCL3,,,TREM1,,,,
PLSCR1,MYD88,CCL3,,,PPBP,,,,
TREM2,MYH9,CCL19,,,PPIA,,,,
BATF3,NCF2,CX3CL1,,,PPIB,,,,
PRKCD,NCF4,VSIR,,,MAPK1,,,,
PRKCE,P2RX7,NOD2,,,MAPK3,,,,
KMT2E,P2RY6,IFIH1,,,LGMN,,,,
PSEN1,PAK1,CARD9,,,SLAMF8,,,,
SUCNR1,BIN2,CLEC7A,,,CAMK1D,,,,
SPHK2,RAB14,ILRUN,,,PTGER4,,,,
C12orf4,PECAM1,SLAMF1,,,PTK2,,,,
PTAFR,CFP,SPN,,,MTUS1,,,,
PREX1,PIK3CA,STAT3,,,PREX1,,,,
PTPN6,PLCG2,SYK,,,PTPRO,,,,
PTPRC,PLD2,BTK,,,SELENOK,,,,
NECTIN2,PLSCR1,THBS1,,,RAC1,,,,
SNX6,TREM2,TSPO,,,RAC2,,,,
RAC2,RAB39A,TLR1,,,TRPV4,,,,
RELB,XKR8,TLR2,,,BCR,,,,
RORA,APPL2,TLR4,,,RPS19,,,,
BCR,ARL8B,TNFAIP3,,,S100A8,,,,
S100A12,PIP4P2,TYROBP,,,S100A9,,,,
CCL3,LYAR,WNT5A,,,S100A12,,,,
CCL5,RAB20,ZFP36,,,CCL2,,,,
CX3CL1,PRKCD,FZD5,,,CCL3,,,,
CRLF2,PRKCE,ZC3H12A,,,CCL5,,,,
CRTC3,CDC42SE1,FRMD8,,,CCL17,,,,
SLAMF1,CDC42SE2,HAVCR2,,,CCL18,,,,
SLC11A1,CAMK1D,RIPK1,,,CCL19,,,,
SNCA,PTK2,RIPK2,,,CCL22,,,,
SPI1,ADGRB1,FADD,,,CCL24,,,,
STX4,PTPRC,CD84,,,CXCL5,,,,
STXBP1,PTPRJ,BCL10,,,CX3CL1,,,,
STXBP2,RAB5A,ARHGEF2,,,NOD2,,,,
STXBP3,RAB27A,MAPKAPK2,,,SLAMF1,,,,
VAMP2,RAC1,CD14,,,SPI1,,,,
VAMP7,RAC2,CD86,,,SRP54,,,,
SYK,RARA,TNFRSF8,,,STAT5B,,,,
BTK,BCR,CD33,,,BSG,,,,
TGFBR2,CCL2,IL27RA,,,BST1,,,,
THBS1,VIPAS39,CD36,,,SYK,,,,
TLR1,ELMO2,CD47,,,THBS1,,,,
TLR2,MYO1G,,,,C1QBP,,,,
TLR4,NOD2,,,,TNFAIP6,,,,
GPR137B,ATG3,,,,C3AR1,,,,
C1QA,CLEC7A,,,,C5,,,,
TNF,SLAMF1,,,,C5AR1,,,,
TRAF6,SLC11A1,,,,VAV1,,,,
C5AR1,SOD1,,,,VEGFA,,,,
TYROBP,SRC,,,,VEGFB,,,,
LAT2,VAMP7,,,,PLA2G7,,,,
WNT5A,SYK,,,,AKIRIN1,,,,
TNIP2,BTK,,,,RIN3,,,,
NR4A3,TGM2,,,,NUP85,,,,
ZC3H12A,THBS1,,,,CD99L2,,,,
DCSTAMP,ICAM5,,,,JAGN1,,,,
DYSF,TLR2,,,,IL17RC,,,,
PRAM1,TLR4,,,,GBF1,,,,
HAVCR2,TNF,,,,TNFRSF11A,,,,
CST7,C2,,,,MCU,,,,
CBL,C3,,,,CD9,,,,
VAMP8,C4B,,,,CD47,,,,
HYAL2,TYROBP,,,,CD74,,,,
SNX4,VAV1,,,,CD81,,,,
ADAM9,VAV2,,,,RIPOR2,,,,
SNAP23,RAB7A,,,,WDR1,,,,
CD84,ELMO3,,,,,,,,
SPHK1,SPG11,,,,,,,,
NMI,COLEC12,,,,,,,,
MFHAS1,CALR,,,,,,,,
VAMP3,DYSF,,,,,,,,
CD33,RAB34,,,,,,,,
CD74,PIP5K1A,,,,,,,,
GAB2,PLA2G6,,,,,,,,
PJA2,KIAA1109,,,,,,,,
,TMEM175,,,,,,,,
,BECN1,,,,,,,,
,MARCO,,,,,,,,
,SNX3,,,,,,,,
,SPHK1,,,,,,,,
,CD14,,,,,,,,
,ARHGAP12,,,,,,,,
,ATG5,,,,,,,,
,CD36,,,,,,,,
,SCARB1,,,,,,,,
,CD47,,,,,,,,
,RUBCN,,,,,,,,
,TM9SF4,,,,,,,,
,ELMO1,,,,,,,,
,CD302,,,,,,,,
,ARHGAP25,,,,,,,,
,CDC42,,,,,,,,
